iter	Passed	Remaining
530	6816	249925
531	6831	249980
532	6844	249982
533	6879	250764
534	6896	250911
535	6919	251277
536	6933	251288
537	6946	251272
538	6982	252120
539	6995	252087
540	7018	252440
541	7038	252690
542	7056	252840
543	7071	252926
544	7084	252895
545	7096	252852
546	7109	252852
547	7122	252809
548	7134	252768
549	7146	252734
550	7159	252702
551	7171	252656
552	7184	252641
553	7204	252881
554	7217	252885
555	7231	252884
556	7243	252863
557	7259	252949
558	7272	252929
559	7284	252892
560	7297	252867
561	7310	252839
562	7323	252844
563	7336	252837
564	7349	252818
565	7364	252868
566	7376	252828
567	7389	252790
568	7402	252775
569	7415	252761
570	7427	252746
571	7440	252732
572	7453	252701
573	7471	252859
574	7483	252825
575	7496	252785
576	7508	252745
577	7520	252717
578	7534	252722
579	7547	252718
580	7561	252721
581	7574	252707
582	7588	252732
583	7601	252724
584	7614	252721
585	7627	252709
586	7640	252693
587	7653	252658
588	7665	252632
589	7679	252626
590	7692	252616
591	7705	252606
592	7718	252595
593	7731	252572
594	7744	252574
595	7758	252591
596	7771	252565
597	7783	252538
598	7796	252518
599	7809	252510
600	7823	252518
601	7836	252508
602	7849	252485
603	7862	252469
604	7874	252434
605	7887	252425
606	7899	252391
607	7912	252370
608	7925	252348
609	7937	252323
610	7951	252316
611	7964	252312
612	7977	252291
613	7990	252272
614	8003	252258
615	8015	252225
616	8028	252203
617	8040	252181
618	8054	252174
619	8066	252149
620	8079	252118
621	8091	252090
622	8104	252080
623	8117	252067
624	8130	252039
625	8143	252035
626	8157	252042
627	8170	252027
628	8182	252003
629	8195	251980
630	8208	251961
631	8221	251965
632	8234	251940
633	8247	251931
634	8260	251918
635	8273	251910
636	8286	251899
637	8299	251881
638	8312	251862
639	8324	251829
640	8337	251812
641	8351	251811
642	8364	251797
643	8377	251794
644	8391	251810
645	8404	251797
646	8417	251780
647	8430	251770
648	8443	251765
649	8457	251767
650	8470	251747
651	8483	251742
652	8496	251731
653	8509	251712
654	8522	251697
655	8535	251692
656	8548	251691
657	8562	251699
658	8575	251694
659	8589	251684
660	8601	251668
661	8615	251663
662	8628	251653
663	8662	252265
664	8676	252265
665	8688	252240
666	8701	252209
667	8714	252193
668	8727	252197
